time,hexokinase,glucose,glucose6phosphate
866.5,1e-09,9.99999999134e-07,8.65634365634e-16
866.6,1e-09,9.99999999134e-07,8.65734265734e-16
866.7,1e-09,9.99999999134e-07,8.65834165834e-16
866.8,1e-09,9.99999999134e-07,8.65934065934e-16
866.9,1e-09,9.99999999134e-07,8.66033966034e-16
867.0,1e-09,9.99999999133e-07,8.66133866133e-16
867.1,1e-09,9.99999999133e-07,8.66233766233e-16
867.2,1e-09,9.99999999133e-07,8.66333666333e-16
867.3,1e-09,9.99999999133e-07,8.66433566433e-16
867.4,1e-09,9.99999999133e-07,8.66533466533e-16
867.5,1e-09,9.99999999133e-07,8.66633366633e-16
867.6,1e-09,9.99999999133e-07,8.66733266733e-16
867.7,1e-09,9.99999999133e-07,8.66833166833e-16
867.8,1e-09,9.99999999133e-07,8.66933066933e-16
867.9,1e-09,9.99999999133e-07,8.67032967033e-16
868.0,1e-09,9.99999999132e-07,8.67132867132e-16
868.1,1e-09,9.99999999132e-07,8.67232767232e-16
868.2,1e-09,9.99999999132e-07,8.67332667332e-16
868.3,1e-09,9.99999999132e-07,8.67432567432e-16
868.4,1e-09,9.99999999132e-07,8.67532467532e-16
868.5,1e-09,9.99999999132e-07,8.67632367632e-16
868.6,1e-09,9.99999999132e-07,8.67732267732e-16
868.7,1e-09,9.99999999132e-07,8.67832167832e-16
868.8,1e-09,9.99999999132e-07,8.67932067932e-16
868.9,1e-09,9.99999999132e-07,8.68031968032e-16
869.0,1e-09,9.99999999131e-07,8.68131868131e-16
869.1,1e-09,9.99999999131e-07,8.68231768231e-16
869.2,1e-09,9.99999999131e-07,8.68331668331e-16
869.3,1e-09,9.99999999131e-07,8.68431568431e-16
869.4,1e-09,9.99999999131e-07,8.68531468531e-16
869.5,1e-09,9.99999999131e-07,8.68631368631e-16
869.6,1e-09,9.99999999131e-07,8.68731268731e-16
869.7,1e-09,9.99999999131e-07,8.68831168831e-16
869.8,1e-09,9.99999999131e-07,8.68931068931e-16
869.9,1e-09,9.99999999131e-07,8.69030969031e-16
870.0,1e-09,9.9999999913e-07,8.6913086913e-16
870.1,1e-09,9.9999999913e-07,8.6923076923e-16
870.2,1e-09,9.9999999913e-07,8.6933066933e-16
870.3,1e-09,9.9999999913e-07,8.6943056943e-16
870.4,1e-09,9.9999999913e-07,8.6953046953e-16
870.5,1e-09,9.9999999913e-07,8.6963036963e-16
870.6,1e-09,9.9999999913e-07,8.6973026973e-16
870.7,1e-09,9.9999999913e-07,8.6983016983e-16
870.8,1e-09,9.9999999913e-07,8.6993006993e-16
870.9,1e-09,9.9999999913e-07,8.7002997003e-16
871.0,1e-09,9.99999999129e-07,8.70129870129e-16
871.1,1e-09,9.99999999129e-07,8.70229770229e-16
871.2,1e-09,9.99999999129e-07,8.70329670329e-16
871.3,1e-09,9.99999999129e-07,8.70429570429e-16
871.4,1e-09,9.99999999129e-07,8.70529470529e-16
871.5,1e-09,9.99999999129e-07,8.70629370629e-16
871.6,1e-09,9.99999999129e-07,8.70729270729e-16
871.7,1e-09,9.99999999129e-07,8.70829170829e-16
871.8,1e-09,9.99999999129e-07,8.70929070929e-16
871.9,1e-09,9.99999999129e-07,8.71028971029e-16
872.0,1e-09,9.99999999128e-07,8.71128871128e-16
872.1,1e-09,9.99999999128e-07,8.71228771228e-16
872.2,1e-09,9.99999999128e-07,8.71328671328e-16
872.3,1e-09,9.99999999128e-07,8.71428571428e-16
872.4,1e-09,9.99999999128e-07,8.71528471528e-16
872.5,1e-09,9.99999999128e-07,8.71628371628e-16
872.6,1e-09,9.99999999128e-07,8.71728271728e-16
872.7,1e-09,9.99999999128e-07,8.71828171828e-16
872.8,1e-09,9.99999999128e-07,8.71928071928e-16
872.9,1e-09,9.99999999128e-07,8.72027972028e-16
873.0,1e-09,9.99999999127e-07,8.72127872127e-16
873.1,1e-09,9.99999999127e-07,8.72227772227e-16
873.2,1e-09,9.99999999127e-07,8.72327672327e-16
873.3,1e-09,9.99999999127e-07,8.72427572427e-16
873.4,1e-09,9.99999999127e-07,8.72527472527e-16
873.5,1e-09,9.99999999127e-07,8.72627372627e-16
873.6,1e-09,9.99999999127e-07,8.72727272727e-16
873.7,1e-09,9.99999999127e-07,8.72827172827e-16
873.8,1e-09,9.99999999127e-07,8.72927072927e-16
873.9,1e-09,9.99999999127e-07,8.73026973027e-16
874.0,1e-09,9.99999999126e-07,8.73126873126e-16
874.1,1e-09,9.99999999126e-07,8.73226773226e-16
874.2,1e-09,9.99999999126e-07,8.73326673326e-16
874.3,1e-09,9.99999999126e-07,8.73426573426e-16
874.4,1e-09,9.99999999126e-07,8.73526473526e-16
874.5,1e-09,9.99999999126e-07,8.73626373626e-16
874.6,1e-09,9.99999999126e-07,8.73726273726e-16
874.7,1e-09,9.99999999126e-07,8.73826173826e-16
874.8,1e-09,9.99999999126e-07,8.73926073926e-16
874.9,1e-09,9.99999999126e-07,8.74025974026e-16
875.0,1e-09,9.99999999125e-07,8.74125874125e-16
875.1,1e-09,9.99999999125e-07,8.74225774225e-16
875.2,1e-09,9.99999999125e-07,8.74325674325e-16
875.3,1e-09,9.99999999125e-07,8.74425574425e-16
875.4,1e-09,9.99999999125e-07,8.74525474525e-16
875.5,1e-09,9.99999999125e-07,8.74625374625e-16
875.6,1e-09,9.99999999125e-07,8.74725274725e-16
875.7,1e-09,9.99999999125e-07,8.74825174825e-16
875.8,1e-09,9.99999999125e-07,8.74925074925e-16
875.9,1e-09,9.99999999125e-07,8.75024975025e-16
876.0,1e-09,9.99999999124e-07,8.75124875124e-16
876.1,1e-09,9.99999999124e-07,8.75224775224e-16
876.2,1e-09,9.99999999124e-07,8.75324675324e-16
876.3,1e-09,9.99999999124e-07,8.75424575424e-16
876.4,1e-09,9.99999999124e-07,8.75524475524e-16
876.5,1e-09,9.99999999124e-07,8.75624375624e-16
876.6,1e-09,9.99999999124e-07,8.75724275724e-16
876.7,1e-09,9.99999999124e-07,8.75824175824e-16
876.8,1e-09,9.99999999124e-07,8.75924075924e-16
876.9,1e-09,9.99999999124e-07,8.76023976024e-16
877.0,1e-09,9.99999999123e-07,8.76123876123e-16
877.1,1e-09,9.99999999123e-07,8.76223776223e-16
877.2,1e-09,9.99999999123e-07,8.76323676323e-16
877.3,1e-09,9.99999999123e-07,8.76423576423e-16
877.4,1e-09,9.99999999123e-07,8.76523476523e-16
877.5,1e-09,9.99999999123e-07,8.76623376623e-16
877.6,1e-09,9.99999999123e-07,8.76723276723e-16
877.7,1e-09,9.99999999123e-07,8.76823176823e-16
877.8,1e-09,9.99999999123e-07,8.76923076923e-16
877.9,1e-09,9.99999999123e-07,8.77022977023e-16
878.0,1e-09,9.99999999122e-07,8.77122877122e-16
878.1,1e-09,9.99999999122e-07,8.77222777222e-16
878.2,1e-09,9.99999999122e-07,8.77322677322e-16
878.3,1e-09,9.99999999122e-07,8.77422577422e-16
