time,Glucose,Hexokinase,Complex_G_H
758.0,1e-06,1.00053074079e-06,2.27374161821e-16
759.0,1e-06,1.00053144116e-06,2.27674093624e-16
760.0,1e-06,1.00053214154e-06,2.27974025338e-16
761.0,1e-06,1.00053284191e-06,2.28273956961e-16
762.0,1e-06,1.00053354228e-06,2.28573888495e-16
763.0,1e-06,1.00053424266e-06,2.28873819939e-16
764.0,1e-06,1.00053494303e-06,2.29173751293e-16
765.0,1e-06,1.00053564341e-06,2.29473682557e-16
766.0,1e-06,1.00053634378e-06,2.29773613732e-16
767.0,1e-06,1.00053704416e-06,2.30073544816e-16
768.0,1e-06,1.00053774453e-06,2.30373475811e-16
769.0,1e-06,1.00053844491e-06,2.30673406716e-16
770.0,1e-06,1.00053914529e-06,2.30973337531e-16
771.0,1e-06,1.00053984566e-06,2.31273268256e-16
772.0,1e-06,1.00054054604e-06,2.31573198892e-16
773.0,1e-06,1.00054124642e-06,2.31873129438e-16
774.0,1e-06,1.0005419468e-06,2.32173059894e-16
775.0,1e-06,1.00054264718e-06,2.3247299026e-16
776.0,1e-06,1.00054334756e-06,2.32772920536e-16
777.0,1e-06,1.00054404794e-06,2.33072850722e-16
778.0,1e-06,1.00054474832e-06,2.33372780819e-16
779.0,1e-06,1.0005454487e-06,2.33672710826e-16
780.0,1e-06,1.00054614909e-06,2.33972640743e-16
781.0,1e-06,1.00054684947e-06,2.3427257057e-16
782.0,1e-06,1.00054754985e-06,2.34572500307e-16
783.0,1e-06,1.00054825023e-06,2.34872429955e-16
784.0,1e-06,1.00054895062e-06,2.35172359513e-16
785.0,1e-06,1.000549651e-06,2.3547228898e-16
786.0,1e-06,1.00055035139e-06,2.35772218359e-16
787.0,1e-06,1.00055105177e-06,2.36072147647e-16
788.0,1e-06,1.00055175216e-06,2.36372076845e-16
789.0,1e-06,1.00055245255e-06,2.36672005954e-16
790.0,1e-06,1.00055315293e-06,2.36971934973e-16
791.0,1e-06,1.00055385332e-06,2.37271863902e-16
792.0,1e-06,1.00055455371e-06,2.37571792741e-16
793.0,1e-06,1.0005552541e-06,2.37871721491e-16
794.0,1e-06,1.00055595449e-06,2.3817165015e-16
795.0,1e-06,1.00055665487e-06,2.3847157872e-16
796.0,1e-06,1.00055735526e-06,2.387715072e-16
797.0,1e-06,1.00055805566e-06,2.3907143559e-16
798.0,1e-06,1.00055875605e-06,2.3937136389e-16
799.0,1e-06,1.00055945644e-06,2.39671292101e-16
800.0,1e-06,1.00056015683e-06,2.39971220222e-16
801.0,1e-06,1.00056085722e-06,2.40271148253e-16
802.0,1e-06,1.00056155761e-06,2.40571076194e-16
803.0,1e-06,1.00056225801e-06,2.40871004045e-16
804.0,1e-06,1.0005629584e-06,2.41170931807e-16
805.0,1e-06,1.0005636588e-06,2.41470859478e-16
806.0,1e-06,1.00056435919e-06,2.4177078706e-16
807.0,1e-06,1.00056505959e-06,2.42070714552e-16
808.0,1e-06,1.00056575998e-06,2.42370641954e-16
809.0,1e-06,1.00056646038e-06,2.42670569267e-16
810.0,1e-06,1.00056716077e-06,2.4297049649e-16
811.0,1e-06,1.00056786117e-06,2.43270423622e-16
812.0,1e-06,1.00056856157e-06,2.43570350665e-16
813.0,1e-06,1.00056926197e-06,2.43870277619e-16
814.0,1e-06,1.00056996237e-06,2.44170204482e-16
815.0,1e-06,1.00057066277e-06,2.44470131256e-16
816.0,1e-06,1.00057136317e-06,2.44770057939e-16
817.0,1e-06,1.00057206357e-06,2.45069984533e-16
818.0,1e-06,1.00057276397e-06,2.45369911038e-16
819.0,1e-06,1.00057346437e-06,2.45669837452e-16
820.0,1e-06,1.00057416477e-06,2.45969763777e-16
821.0,1e-06,1.00057486517e-06,2.46269690011e-16
822.0,1e-06,1.00057556557e-06,2.46569616156e-16
823.0,1e-06,1.00057626598e-06,2.46869542211e-16
824.0,1e-06,1.00057696638e-06,2.47169468177e-16
825.0,1e-06,1.00057766679e-06,2.47469394052e-16
826.0,1e-06,1.00057836719e-06,2.47769319838e-16
827.0,1e-06,1.00057906759e-06,2.48069245534e-16
828.0,1e-06,1.000579768e-06,2.4836917114e-16
829.0,1e-06,1.00058046841e-06,2.48669096656e-16
830.0,1e-06,1.00058116881e-06,2.48969022083e-16
831.0,1e-06,1.00058186922e-06,2.4926894742e-16
832.0,1e-06,1.00058256963e-06,2.49568872667e-16
