time,Glucose,Hexokinase,Complex_G_H
1359.0,1e-06,3.00285525789e-06,1.22285096843e-15
1360.0,1e-06,3.00285735989e-06,1.22375060202e-15
1361.0,1e-06,3.00285946189e-06,1.22465023535e-15
1362.0,1e-06,3.00286156389e-06,1.2255498684e-15
1363.0,1e-06,3.00286366589e-06,1.22644950119e-15
1364.0,1e-06,3.0028657679e-06,1.2273491337e-15
1365.0,1e-06,3.00286786991e-06,1.22824876595e-15
1366.0,1e-06,3.00286997191e-06,1.22914839793e-15
1367.0,1e-06,3.00287207392e-06,1.23004802963e-15
1368.0,1e-06,3.00287417594e-06,1.23094766107e-15
1369.0,1e-06,3.00287627795e-06,1.23184729224e-15
1370.0,1e-06,3.00287837996e-06,1.23274692315e-15
1371.0,1e-06,3.00288048198e-06,1.23364655378e-15
1372.0,1e-06,3.002882584e-06,1.23454618414e-15
1373.0,1e-06,3.00288468601e-06,1.23544581424e-15
1374.0,1e-06,3.00288678803e-06,1.23634544406e-15
1375.0,1e-06,3.00288889006e-06,1.23724507362e-15
1376.0,1e-06,3.00289099208e-06,1.23814470291e-15
1377.0,1e-06,3.0028930941e-06,1.23904433192e-15
1378.0,1e-06,3.00289519613e-06,1.23994396067e-15
1379.0,1e-06,3.00289729816e-06,1.24084358915e-15
1380.0,1e-06,3.00289940018e-06,1.24174321737e-15
1381.0,1e-06,3.00290150222e-06,1.24264284531e-15
1382.0,1e-06,3.00290360425e-06,1.24354247298e-15
1383.0,1e-06,3.00290570628e-06,1.24444210039e-15
1384.0,1e-06,3.00290780831e-06,1.24534172752e-15
1385.0,1e-06,3.00290991035e-06,1.24624135439e-15
1386.0,1e-06,3.00291201239e-06,1.24714098098e-15
1387.0,1e-06,3.00291411443e-06,1.24804060731e-15
1388.0,1e-06,3.00291621647e-06,1.24894023337e-15
1389.0,1e-06,3.00291831851e-06,1.24983985916e-15
1390.0,1e-06,3.00292042055e-06,1.25073948468e-15
1391.0,1e-06,3.0029225226e-06,1.25163910994e-15
1392.0,1e-06,3.00292462465e-06,1.25253873492e-15
1393.0,1e-06,3.00292672669e-06,1.25343835963e-15
1394.0,1e-06,3.00292882874e-06,1.25433798408e-15
1395.0,1e-06,3.00293093079e-06,1.25523760825e-15
1396.0,1e-06,3.00293303285e-06,1.25613723216e-15
1397.0,1e-06,3.0029351349e-06,1.2570368558e-15
1398.0,1e-06,3.00293723696e-06,1.25793647917e-15
1399.0,1e-06,3.00293933901e-06,1.25883610227e-15
1400.0,1e-06,3.00294144107e-06,1.2597357251e-15
1401.0,1e-06,3.00294354313e-06,1.26063534766e-15
1402.0,1e-06,3.00294564519e-06,1.26153496995e-15
1403.0,1e-06,3.00294774725e-06,1.26243459198e-15
1404.0,1e-06,3.00294984932e-06,1.26333421373e-15
